iteration,wins,losses,draws,score,LmrCoefficient,LmrCoefficient_spin,LmrBase,LmrBase_spin,LmrTtPvReduction,LmrTtPvReduction_spin,LmrHistoryNumerator,LmrHistoryNumerator_spin,RfpMarginPerDepth,RfpMarginPerDepth_spin,RfpTtPvMargin,RfpTtPvMargin_spin,FutilityBaseMargin,FutilityBaseMargin_spin,FutilityMarginPerDepth,FutilityMarginPerDepth_spin
182,4,3,9,1,2784.4672,2784,1005.5058,1006,1037.5122,1038,453.3070,453,97.3668,97,21.5366,22,124.4123,124,106.0481,106
183,9,2,5,7,2779.8774,2780,1009.2657,1009,1034.6922,1035,454.6380,455,97.1098,97,21.3989,21,124.7611,125,105.6993,106
184,4,6,6,-2,2781.1859,2781,1008.1938,1008,1033.8883,1034,455.0175,455,97.0365,97,21.4381,21,124.8605,125,105.5999,106
185,2,7,7,-5,2777.9219,2778,1005.5199,1006,1035.8937,1036,454.0709,454,96.8537,97,21.5360,22,125.1086,125,105.3518,105
186,3,4,9,-1,2777.2706,2777,1006.0535,1006,1036.2939,1036,453.8820,454,96.8902,97,21.5165,22,125.1581,125,105.3023,105
187,6,4,6,2,2778.5705,2779,1007.1184,1007,1035.4952,1035,453.5050,454,96.8174,97,21.4775,21,125.2569,125,105.4011,105
188,3,3,10,0,2778.5705,2779,1007.1184,1007,1035.4952,1035,453.5050,454,96.8174,97,21.4775,21,125.2569,125,105.4011,105
189,4,2,10,2,2777.2762,2777,1008.1787,1008,1036.2904,1036,453.1297,453,96.8899,97,21.5163,22,125.3552,125,105.4994,105
190,3,7,6,-4,2774.6932,2775,1010.2946,1010,1034.7035,1035,452.3806,452,97.0345,97,21.4388,21,125.1589,125,105.3031,105
191,1,6,9,-5,2777.9150,2778,1012.9339,1013,1036.6829,1037,453.3150,453,96.8541,97,21.5355,22,125.4038,125,105.5480,106
192,8,4,4,4,2780.4869,2780,1010.8270,1011,1038.2631,1038,454.0608,454,96.7101,97,21.6126,22,125.5993,126,105.7435,106
193,1,5,10,-4,2783.0534,2783,1012.9294,1013,1036.6863,1037,453.3165,453,96.5664,97,21.6896,22,125.4042,125,105.9385,106
194,4,5,7,-1,2782.4131,2782,1013.4539,1013,1036.2929,1036,453.1309,453,96.5305,97,21.7088,22,125.3555,125,105.8899,106
195,6,7,3,-1,2783.0521,2783,1013.9773,1014,1035.9004,1036,453.3162,453,96.4947,96,21.7280,22,125.4041,125,105.9384,106
196,5,4,7,1,2783.6896,2784,1013.4550,1013,1036.2921,1036,453.5011,454,96.4590,96,21.7471,22,125.3557,125,105.8900,106
197,4,4,8,0,2783.6896,2784,1013.4550,1013,1036.2921,1036,453.5011,454,96.4590,96,21.7471,22,125.3557,125,105.8900,106
198,6,3,7,3,2781.7849,2782,1015.0154,1015,1035.1218,1035,454.0534,454,96.5657,97,21.8043,22,125.5004,126,105.7452,106
199,6,6,4,0,2781.7849,2782,1015.0154,1015,1035.1218,1035,454.0534,454,96.5657,97,21.8043,22,125.5004,126,105.7452,106
200,5,5,6,0,2781.7849,2782,1015.0154,1015,1035.1218,1035,454.0534,454,96.5657,97,21.8043,22,125.5004,126,105.7452,106
201,2,2,12,0,2781.7849,2782,1015.0154,1015,1035.1218,1035,454.0534,454,96.5657,97,21.8043,22,125.5004,126,105.7452,106
202,1,4,11,-3,2779.8958,2780,1013.4679,1013,1033.9612,1034,454.6013,455,96.6715,97,21.8610,22,125.6440,126,105.6016,106
203,3,6,7,-3,2778.0106,2778,1015.0122,1015,1032.8029,1033,455.1480,455,96.7771,97,21.8044,22,125.7873,126,105.4583,105
204,5,5,6,0,2778.0106,2778,1015.0122,1015,1032.8029,1033,455.1480,455,96.7771,97,21.8044,22,125.7873,126,105.4583,105
205,5,1,10,4,2775.5071,2776,1017.0631,1017,1031.2648,1031,455.8740,456,96.9172,97,21.7293,22,125.5970,126,105.6486,106
206,5,5,6,0,2775.5071,2776,1017.0631,1017,1031.2648,1031,455.8740,456,96.9172,97,21.7293,22,125.5970,126,105.6486,106
207,4,2,10,2,2774.2604,2774,1018.0844,1018,1030.4988,1030,456.2355,456,96.8474,97,21.6919,22,125.6917,126,105.7434,106
208,4,3,9,1,2774.8825,2775,1017.5747,1018,1030.1166,1030,456.4159,456,96.8126,97,21.7106,22,125.7390,126,105.7906,106
209,3,3,10,0,2774.8825,2775,1017.5747,1018,1030.1166,1030,456.4159,456,96.8126,97,21.7106,22,125.7390,126,105.7906,106
210,6,4,6,2,2773.6432,2774,1018.5900,1019,1030.8780,1031,456.0565,456,96.7432,97,21.6734,22,125.6448,126,105.8848,106
211,2,5,9,-3,2771.7880,2772,1017.0701,1017,1029.7381,1030,455.5185,456,96.6393,97,21.7290,22,125.7858,126,105.7438,106
212,5,1,10,4,2769.3192,2769,1019.0926,1019,1028.2213,1028,454.8026,455,96.5011,97,21.8031,22,125.9735,126,105.5562,106
213,6,2,8,4,2771.7832,2772,1021.1110,1021,1029.7351,1030,455.5171,456,96.6390,97,21.8770,22,125.7862,126,105.7435,106
214,1,5,10,-4,2774.2423,2774,1019.0965,1019,1031.2460,1031,456.2303,456,96.5013,97,21.9508,22,125.9731,126,105.5566,106
215,4,2,10,2,2773.0151,2773,1018.0912,1018,1032.0000,1032,456.5861,457,96.5700,97,21.9140,22,126.0664,126,105.6498,106
216,5,6,5,-1,2772.4027,2772,1018.5929,1019,1032.3763,1032,456.7637,457,96.5357,97,21.9323,22,126.1129,126,105.6964,106
217,4,4,8,0,2772.4027,2772,1018.5929,1019,1032.3763,1032,456.7637,457,96.5357,97,21.9323,22,126.1129,126,105.6964,106
218,4,4,8,0,2772.4027,2772,1018.5929,1019,1032.3763,1032,456.7637,457,96.5357,97,21.9323,22,126.1129,126,105.6964,106
219,4,2,10,2,2771.1850,2771,1017.5953,1018,1031.6281,1032,457.1169,457,96.4676,96,21.9689,22,126.2055,126,105.6038,106
220,6,2,8,4,2768.7541,2769,1019.5867,1020,1033.1216,1033,457.8218,458,96.6037,97,21.8960,22,126.0207,126,105.4191,105
221,7,6,3,1,2768.1476,2768,1019.0898,1019,1033.4942,1033,457.9977,458,96.6376,97,21.9142,22,126.0668,126,105.3730,105
222,6,6,4,0,2768.1476,2768,1019.0898,1019,1033.4942,1033,457.9977,458,96.6376,97,21.9142,22,126.0668,126,105.3730,105
223,3,5,8,-2,2769.3561,2769,1018.0997,1018,1032.7517,1033,458.3482,458,96.7053,97,21.9504,22,125.9750,126,105.2811,105
224,5,3,8,2,2770.5624,2771,1017.1116,1017,1032.0106,1032,458.6980,459,96.6378,97,21.9866,22,126.0666,126,105.3728,105
225,4,3,9,1,2769.9604,2770,1017.6047,1018,1031.6407,1032,458.5234,459,96.6041,97,22.0047,22,126.0209,126,105.3271,105
226,1,7,8,-6,2773.5656,2774,1014.6513,1015,1029.4257,1029,457.4779,457,96.4022,96,21.8965,22,126.2949,126,105.6011,106
227,3,8,5,-5,2776.5644,2777,1012.1947,1012,1027.5832,1028,458.3476,458,96.2342,96,21.9865,22,126.5228,127,105.8290,106
228,5,2,9,3,2774.7685,2775,1010.7235,1011,1026.4798,1026,458.8684,459,96.3348,96,22.0403,22,126.3863,126,105.6925,106
229,5,3,8,2,2773.5734,2774,1009.7444,1010,1027.2140,1027,458.5218,459,96.4017,96,22.0762,22,126.2955,126,105.7833,106
230,3,4,9,-1,2772.9769,2773,1010.2331,1010,1026.8476,1027,458.3488,458,96.3683,96,22.0941,22,126.2501,126,105.7380,106
231,4,6,6,-2,2771.7862,2772,1011.2085,1011,1026.1160,1026,458.6942,459,96.4350,96,22.1298,22,126.1597,126,105.6475,106
232,4,3,9,1,2771.1920,2771,1011.6953,1012,1026.4811,1026,458.8665,459,96.4017,96,22.1476,22,126.1145,126,105.6023,106
233,4,7,5,-3,2769.4124,2769,1010.2375,1010,1025.3878,1025,459.3826,459,96.5014,97,22.2010,22,126.2497,126,105.7376,106
234,6,4,6,2,2770.5966,2771,1011.2076,1011,1026.1154,1026,459.0391,459,96.4351,96,22.2365,22,126.3397,126,105.6476,106
235,2,5,9,-3,2768.8235,2769,1012.6601,1013,1027.2048,1027,459.5533,460,96.3358,96,22.1834,22,126.2050,126,105.7823,106
236,5,4,7,1,2769.4135,2769,1012.1768,1012,1026.8423,1027,459.7244,460,96.3027,96,22.1657,22,126.1601,126,105.7375,106
237,6,6,4,0,2769.4135,2769,1012.1768,1012,1026.8423,1027,459.7244,460,96.3027,96,22.1657,22,126.1601,126,105.7375,106
238,3,8,5,-5,2766.4742,2766,1014.5847,1015,1028.6482,1029,458.8720,459,96.1381,96,22.0775,22,125.9367,126,105.5141,106
239,6,5,5,1,2765.8873,2766,1014.1040,1014,1029.0088,1029,459.0422,459,96.1053,96,22.0599,22,125.8921,126,105.4695,105
240,2,2,12,0,2765.8873,2766,1014.1040,1014,1029.0088,1029,459.0422,459,96.1053,96,22.0599,22,125.8921,126,105.4695,105
241,3,4,9,-1,2765.3026,2765,1013.6250,1014,1028.6495,1029,459.2118,459,96.1380,96,22.0774,22,125.9366,126,105.5139,106
242,7,3,6,4,2762.9677,2763,1011.7123,1012,1030.0840,1030,458.5347,459,96.0073,96,22.0074,22,125.7591,126,105.6914,106
243,2,6,8,-4,2760.6370,2761,1009.8029,1010,1031.5160,1032,459.2106,459,95.8767,96,21.9374,22,125.5820,126,105.5142,106
244,4,5,7,-1,2760.0553,2760,1009.3264,1009,1031.8734,1032,459.0419,459,95.9093,96,21.9549,22,125.5378,126,105.5584,106
245,6,2,8,4,2757.7327,2758,1007.4237,1007,1033.3005,1033,458.3683,458,96.0394,96,21.8852,22,125.3613,125,105.3819,105
246,3,6,7,-3,2755.9937,2756,1005.9992,1006,1032.2320,1032,457.8641,458,96.1368,96,21.9374,22,125.4934,125,105.2498,105
247,1,5,10,-4,2758.3083,2758,1004.1031,1004,1033.6541,1034,457.1928,457,96.2664,96,22.0068,22,125.3175,125,105.4257,105
248,6,7,3,-1,2757.7307,2758,1003.6299,1004,1034.0090,1034,457.0253,457,96.2340,96,21.9895,22,125.2736,125,105.3818,105
249,3,3,10,0,2757.7307,2758,1003.6299,1004,1034.0090,1034,457.0253,457,96.2340,96,21.9895,22,125.2736,125,105.3818,105
250,6,6,4,0,2757.7307,2758,1003.6299,1004,1034.0090,1034,457.0253,457,96.2340,96,21.9895,22,125.2736,125,105.3818,105
251,3,5,8,-2,2756.5813,2757,1002.6883,1003,1033.3029,1033,456.6920,457,96.1697,96,21.9550,22,125.3610,125,105.2944,105
252,7,3,6,4,2758.8761,2759,1000.8084,1001,1031.8929,1032,456.0265,456,96.0412,96,22.0239,22,125.1866,125,105.1200,105
253,6,0,10,6,2755.4397,2755,1003.6235,1004,1034.0042,1034,457.0230,457,95.8487,96,21.9208,22,124.9254,125,104.8589,105
254,5,5,6,0,2755.4397,2755,1003.6235,1004,1034.0042,1034,457.0230,457,95.8487,96,21.9208,22,124.9254,125,104.8589,105
255,2,6,8,-4,2757.7229,2758,1001.7531,1002,1032.6014,1033,457.6852,458,95.7209,96,21.9893,22,124.7519,125,104.6853,105
256,5,4,7,1,2757.1531,2757,1002.2199,1002,1032.2513,1032,457.5199,458,95.6890,96,21.9722,22,124.7952,125,104.6420,105
257,2,5,9,-3,2755.4464,2755,1000.8218,1001,1033.2999,1033,457.0250,457,95.7845,96,22.0234,22,124.6655,125,104.5123,105
258,2,4,10,-2,2756.5823,2757,1001.7523,1002,1032.6020,1033,457.3544,457,95.7209,96,21.9893,22,124.5792,125,104.4260,104
259,1,5,10,-4,2754.3143,2754,999.8944,1000,1031.2086,1031,458.0121,458,95.5939,96,22.0573,22,124.7515,125,104.5984,105
260,6,4,6,2,2755.4464,2755,1000.8218,1001,1030.5130,1031,458.3404,458,95.5305,96,22.0234,22,124.8376,125,104.6844,105
261,7,2,7,5,2758.2720,2758,1003.1365,1003,1028.7770,1029,459.1598,459,95.3723,95,22.1081,22,125.0523,125,104.4696,104
262,5,2,9,3,2756.5795,2757,1001.7500,1002,1029.8169,1030,458.6690,459,95.2775,95,22.0574,22,125.1809,125,104.5983,105
263,4,3,9,1,2757.1427,2757,1001.2886,1001,1029.4708,1029,458.8323,459,95.3090,95,22.0405,22,125.1381,125,104.5555,105
264,2,4,10,-2,2758.2674,2758,1000.3672,1000,1030.1618,1030,458.5062,459,95.2461,95,22.0067,22,125.2236,125,104.4700,104
265,5,6,5,-1,2758.8288,2759,1000.8271,1001,1029.8169,1030,458.3434,458,95.2775,95,21.9899,22,125.1809,125,104.5127,105
266,5,3,8,2,2759.9499,2760,1001.7455,1002,1029.1281,1029,458.6685,459,95.3403,95,21.9562,22,125.0957,125,104.5979,105
267,5,4,7,1,2760.5095,2761,1001.2871,1001,1028.7843,1029,458.5062,459,95.3716,95,21.9395,22,125.0532,125,104.6404,105
268,2,3,11,-1,2761.0682,2761,1000.8294,1001,1028.4410,1028,458.3442,458,95.4029,95,21.9227,22,125.0108,125,104.6829,105
269,2,1,13,1,2760.5104,2761,1001.2863,1001,1028.0983,1028,458.1824,458,95.4341,95,21.9394,22,125.0531,125,104.6405,105
270,2,6,8,-4,2758.2827,2758,999.4614,999,1029.4670,1029,458.8284,459,95.3094,95,21.8726,22,125.2224,125,104.4712,104
271,5,5,6,0,2758.2827,2758,999.4614,999,1029.4670,1029,458.8284,459,95.3094,95,21.8726,22,125.2224,125,104.4712,104
272,4,5,7,-1,2757.7276,2758,999.0067,999,1029.1259,1029,458.9894,459,95.2783,95,21.8559,22,125.1803,125,104.5134,105
273,3,3,10,0,2757.7276,2758,999.0067,999,1029.1259,1029,458.9894,459,95.2783,95,21.8559,22,125.1803,125,104.5134,105
274,6,3,7,3,2756.0675,2756,997.6467,998,1028.1059,1028,459.4708,459,95.3713,95,21.8061,22,125.3064,125,104.3872,104
275,4,2,10,2,2754.9625,2755,996.7415,997,1027.4270,1027,459.7913,460,95.3094,95,21.8393,22,125.2224,125,104.3032,104
276,7,6,3,1,2754.4109,2754,996.2896,996,1027.0881,1027,459.6313,460,95.3403,95,21.8558,22,125.2644,125,104.3451,104
277,1,2,13,-1,2753.8601,2754,996.7408,997,1027.4265,1027,459.4716,459,95.3711,95,21.8724,22,125.2225,125,104.3870,104
278,2,7,7,-5,2756.6096,2757,994.4884,994,1029.1158,1029,460.2689,460,95.5251,96,21.9548,22,125.4315,125,104.5960,105
279,5,5,6,0,2756.6096,2757,994.4884,994,1029.1158,1029,460.2689,460,95.5251,96,21.9548,22,125.4315,125,104.5960,105
280,2,3,11,-1,2757.1578,2757,994.9375,995,1028.7790,1029,460.1100,460,95.4944,95,21.9384,22,125.4731,125,104.6376,105
281,6,3,7,3,2755.5158,2756,996.2826,996,1029.7878,1030,459.6338,460,95.4024,95,21.9877,22,125.3483,125,104.7624,105
282,4,4,8,0,2755.5158,2756,996.2826,996,1029.7878,1030,459.6338,460,95.4024,95,21.9877,22,125.3483,125,104.7624,105
283,4,5,7,-1,2754.9701,2755,996.7296,997,1029.4526,1029,459.7920,460,95.3719,95,22.0040,22,125.3069,125,104.7209,105
284,3,3,10,0,2754.9701,2755,996.7296,997,1029.4526,1029,459.7920,460,95.3719,95,22.0040,22,125.3069,125,104.7209,105
285,3,5,8,-2,2753.8822,2754,995.8384,996,1030.1210,1030,460.1075,460,95.4328,95,21.9714,22,125.2242,125,104.8036,105
286,5,6,5,-1,2754.4253,2754,995.3934,995,1029.7873,1030,460.2650,460,95.4632,95,21.9877,22,125.2655,125,104.7623,105
287,5,5,6,0,2754.4253,2754,995.3934,995,1029.7873,1030,460.2650,460,95.4632,95,21.9877,22,125.2655,125,104.7623,105
288,6,4,6,2,2753.3423,2753,996.2806,996,1029.1219,1029,460.5791,461,95.5239,96,22.0202,22,125.3478,125,104.8447,105
289,5,3,8,2,2754.4237,2754,997.1665,997,1029.7863,1030,460.8927,461,95.5844,96,22.0526,22,125.4300,125,104.9268,105
290,3,3,10,0,2754.4237,2754,997.1665,997,1029.7863,1030,460.8927,461,95.5844,96,22.0526,22,125.4300,125,104.9268,105
291,5,5,6,0,2754.4237,2754,997.1665,997,1029.7863,1030,460.8927,461,95.5844,96,22.0526,22,125.4300,125,104.9268,105
292,5,5,6,0,2754.4237,2754,997.1665,997,1029.7863,1030,460.8927,461,95.5844,96,22.0526,22,125.4300,125,104.9268,105
293,5,4,7,1,2753.8862,2754,996.7262,997,1030.1165,1030,460.7369,461,95.5543,96,22.0687,22,125.3891,125,104.9677,105
294,4,4,8,0,2753.8862,2754,996.7262,997,1030.1165,1030,460.7369,461,95.5543,96,22.0687,22,125.3891,125,104.9677,105
295,5,5,6,0,2753.8862,2754,996.7262,997,1030.1165,1030,460.7369,461,95.5543,96,22.0687,22,125.3891,125,104.9677,105
296,5,4,7,1,2753.3512,2753,997.1645,997,1030.4452,1030,460.5817,461,95.5244,96,22.0527,22,125.3485,125,104.9270,105
297,6,1,9,5,2756.0225,2756,999.3528,999,1032.0865,1032,459.8070,460,95.3748,95,22.1328,22,125.5515,126,105.1300,105
298,5,6,5,-1,2755.4890,2755,998.9158,999,1031.7587,1032,459.6523,460,95.3449,95,22.1168,22,125.5109,126,105.1706,105
299,3,4,9,-1,2756.0217,2756,998.4794,998,1032.0860,1032,459.8068,460,95.3151,95,22.1328,22,125.5514,126,105.2111,105
300,3,3,10,0,2756.0217,2756,998.4794,998,1032.0860,1032,459.8068,460,95.3151,95,22.1328,22,125.5514,126,105.2111,105
301,4,5,7,-1,2755.4906,2755,998.9145,999,1031.7597,1032,459.9608,460,95.2853,95,22.1169,22,125.5110,126,105.1707,105
302,3,4,9,-1,2756.0209,2756,999.3490,999,1032.0855,1032,459.8070,460,95.3150,95,22.1328,22,125.5514,126,105.2110,105
303,5,4,7,1,2755.4913,2755,998.9152,999,1032.4109,1032,459.6534,460,95.3447,95,22.1169,22,125.5916,126,105.2513,105
304,1,5,10,-4,2757.6066,2758,997.1823,997,1031.1113,1031,459.0400,459,95.2262,95,22.1804,22,125.7524,126,105.4120,105
305,7,4,5,3,2756.0225,2756,995.8845,996,1032.0846,1032,458.5806,459,95.1375,95,22.1328,22,125.8728,126,105.2916,105
306,5,6,5,-1,2756.5498,2757,996.3165,996,1032.4086,1032,458.4277,458,95.1670,95,22.1486,22,125.8327,126,105.3317,105
307,3,4,9,-1,2756.0232,2756,996.7479,997,1032.0851,1032,458.5804,459,95.1965,95,22.1644,22,125.7927,126,105.3717,105
308,2,5,9,-3,2754.4458,2754,998.0400,998,1033.0542,1033,458.1229,458,95.1082,95,22.2118,22,125.6728,126,105.4916,105
309,7,3,6,4,2752.3457,2752,996.3196,996,1034.3445,1034,457.5139,458,94.9906,95,22.1488,22,125.5132,126,105.6512,106
310,4,5,7,-1,2752.8700,2753,995.8901,996,1034.6667,1035,457.6659,458,95.0199,95,22.1645,22,125.5530,126,105.6114,106
311,1,7,8,-6,2756.0113,2756,993.3167,993,1032.7366,1033,456.7549,457,95.1959,95,22.2587,22,125.7918,126,105.3726,105
312,8,5,3,3,2754.4428,2754,992.0319,992,1033.7003,1034,457.2098,457,95.2837,95,22.2117,22,125.6726,126,105.4918,105
313,6,6,4,0,2754.4428,2754,992.0319,992,1033.7003,1034,457.2098,457,95.2837,95,22.2117,22,125.6726,126,105.4918,105
314,3,2,11,1,2753.9215,2754,992.4589,992,1033.3800,1033,457.3610,457,95.2545,95,22.2273,22,125.6329,126,105.5314,106
315,3,3,10,0,2753.9215,2754,992.4589,992,1033.3800,1033,457.3610,457,95.2545,95,22.2273,22,125.6329,126,105.5314,106
316,5,4,7,1,2753.4016,2753,992.8848,993,1033.0606,1033,457.2102,457,95.2836,95,22.2117,22,125.6725,126,105.5710,106
317,1,3,12,-2,2752.3633,2752,993.7354,994,1032.4226,1032,456.9091,457,95.3418,95,22.1806,22,125.7514,126,105.6499,106
318,3,4,9,-1,2752.8817,2753,994.1601,994,1032.1041,1032,457.0594,457,95.3127,95,22.1961,22,125.7908,126,105.6105,106
319,5,5,6,0,2752.8817,2753,994.1601,994,1032.1041,1032,457.0594,457,95.3127,95,22.1961,22,125.7908,126,105.6105,106
320,5,5,6,0,2752.8817,2753,994.1601,994,1032.1041,1032,457.0594,457,95.3127,95,22.1961,22,125.7908,126,105.6105,106
321,3,2,11,1,2753.3980,2753,993.7372,994,1032.4213,1032,457.2092,457,95.3416,95,22.1806,22,125.7515,126,105.5712,106
322,5,4,7,1,2753.9136,2754,993.3148,993,1032.1045,1032,457.3587,457,95.3128,95,22.1652,22,125.7123,126,105.6104,106
323,2,3,11,-1,2753.3987,2753,992.8930,993,1031.7882,1032,457.5080,458,95.3416,95,22.1497,22,125.6732,126,105.6495,106
324,6,3,7,3,2754.9412,2755,994.1566,994,1032.7359,1033,457.9553,458,95.2552,95,22.1960,22,125.7904,126,105.7668,106
325,5,2,9,3,2753.4008,2753,995.4185,995,1031.7895,1032,458.4020,458,95.3415,95,22.1498,22,125.6734,126,105.8838,106
326,4,5,7,-1,2753.9136,2754,995.8386,996,1032.1045,1032,458.5507,459,95.3128,95,22.1344,22,125.7123,126,105.9228,106
327,6,8,2,-2,2754.9377,2755,996.6775,997,1031.4753,1031,458.8477,459,95.2554,95,22.1651,22,125.6345,126,106.0006,106
328,4,3,9,1,2754.4264,2754,996.2586,996,1031.1611,1031,458.6994,459,95.2268,95,22.1805,22,125.5956,126,105.9618,106
329,4,7,5,-3,2752.8943,2753,995.0036,995,1030.2199,1030,458.2551,458,95.1410,95,22.2264,22,125.4792,125,106.0782,106
330,5,4,7,1,2752.3843,2752,994.5858,995,1030.5332,1031,458.1072,458,95.1124,95,22.2111,22,125.4405,125,106.0395,106
331,4,4,8,0,2752.3843,2752,994.5858,995,1030.5332,1031,458.1072,458,95.1124,95,22.2111,22,125.4405,125,106.0395,106
332,4,5,7,-1,2752.8930,2753,995.0024,995,1030.8457,1031,458.2547,458,95.1409,95,22.2264,22,125.4018,125,106.0008,106
333,4,2,10,2,2751.8771,2752,995.8347,996,1030.2215,1030,458.5493,459,95.0840,95,22.2569,22,125.3246,125,106.0780,106
334,6,4,6,2,2750.8625,2751,995.0036,995,1030.8449,1031,458.2551,458,95.1408,95,22.2873,22,125.2475,125,106.1551,106
335,5,5,6,0,2750.8625,2751,995.0036,995,1030.8449,1031,458.2551,458,95.1408,95,22.2873,22,125.2475,125,106.1551,106
336,3,6,7,-3,2752.3803,2752,993.7602,994,1029.9123,1030,458.6953,459,95.0558,95,22.3328,22,125.3628,125,106.2705,106
337,3,5,8,-2,2753.3908,2753,992.9324,993,1030.5332,1031,458.4022,458,94.9992,95,22.3025,22,125.4396,125,106.1937,106
338,6,3,7,3,2754.9046,2755,994.1725,994,1031.4633,1031,458.8412,459,95.0840,95,22.2571,22,125.3246,125,106.0786,106
339,5,3,8,2,2755.9124,2756,993.3468,993,1030.8440,1031,459.1335,459,95.1405,95,22.2269,22,125.2480,125,106.0020,106
340,5,3,8,2,2754.9059,2755,994.1714,994,1030.2256,1030,458.8416,459,95.0841,95,22.1967,22,125.3245,125,106.0785,106
341,4,7,5,-3,2756.4137,2756,992.9362,993,1029.2992,1029,459.2789,459,94.9997,95,22.1514,22,125.2099,125,105.9639,106
342,8,1,7,7,2752.9001,2753,995.8146,996,1027.1404,1027,458.2599,458,94.8029,95,22.2568,22,124.9429,125,105.6969,106
343,5,4,7,1,2753.4014,2753,995.4039,995,1027.4484,1027,458.4053,458,94.7748,95,22.2418,22,124.9810,125,105.7350,106
344,4,4,8,0,2753.4014,2753,995.4039,995,1027.4484,1027,458.4053,458,94.7748,95,22.2418,22,124.9810,125,105.7350,106
345,4,5,7,-1,2753.9014,2754,995.8135,996,1027.7556,1028,458.5503,459,94.7468,95,22.2568,22,125.0190,125,105.7730,106
