iteration,wins,losses,draws,score,LmrCoefficient,LmrCoefficient_spin,LmrBase,LmrBase_spin,LmrTtPvReduction,LmrTtPvReduction_spin,LmrHistoryNumerator,LmrHistoryNumerator_spin,RfpMarginPerDepth,RfpMarginPerDepth_spin,RfpTtPvMargin,RfpTtPvMargin_spin,FutilityBaseMargin,FutilityBaseMargin_spin,FutilityMarginPerDepth,FutilityMarginPerDepth_spin
43,5,4,7,1,2834.4067,2834,987.6262,988,1020.7094,1021,437.5077,438,101.5064,102,21.5408,22,125.2838,125,107.1089,107
44,4,6,6,-2,2836.5039,2837,985.9082,986,1021.9979,1022,436.8995,437,101.6238,102,21.6037,22,125.4432,125,106.9495,107
45,5,5,6,0,2836.5039,2837,985.9082,986,1021.9979,1022,436.8995,437,101.6238,102,21.6037,22,125.4432,125,106.9495,107
46,4,3,9,1,2837.5414,2838,985.0583,985,1022.6354,1023,436.5987,437,101.5657,102,21.5726,22,125.3643,125,106.8706,107
47,2,3,11,-1,2838.5734,2839,985.9037,986,1023.2694,1023,436.8980,437,101.6235,102,21.5417,22,125.2859,125,106.7922,107
48,3,4,9,-1,2839.6001,2840,986.7448,987,1023.9002,1024,436.6002,437,101.6810,102,21.5109,22,125.2079,125,106.7142,107
49,6,4,6,2,2841.6429,2842,985.0714,985,1025.1553,1025,436.0078,436,101.5666,102,21.4496,21,125.0526,125,106.8694,107
50,4,4,8,0,2841.6429,2842,985.0714,985,1025.1553,1025,436.0078,436,101.5666,102,21.4496,21,125.0526,125,106.8694,107
51,5,6,5,-1,2842.6539,2843,985.8996,986,1025.7765,1026,435.7146,436,101.5100,102,21.4192,21,124.9758,125,106.7926,107
52,6,7,3,-1,2843.6598,2844,985.0755,985,1026.3945,1026,435.4229,435,101.4537,101,21.3891,21,125.0522,125,106.7161,107
53,9,3,4,6,2837.6543,2838,989.9952,990,1030.0843,1030,437.1645,437,101.1174,101,21.5692,22,125.5087,126,106.2597,106
54,4,6,6,-2,2839.6463,2840,991.6270,992,1028.8605,1029,436.5868,437,101.0058,101,21.6290,22,125.6600,126,106.4111,106
55,4,8,4,-4,2835.6819,2836,988.3794,988,1031.2962,1031,437.7365,438,101.2278,101,21.7479,22,125.9613,126,106.1098,106
56,2,3,11,-1,2834.6956,2835,987.5715,988,1031.9021,1032,437.4505,437,101.1726,101,21.7183,22,125.8864,126,106.0349,106
57,5,2,9,3,2831.7510,2832,985.1593,985,1033.7113,1034,438.3044,438,101.0077,101,21.6300,22,125.6626,126,105.8111,106
58,5,5,6,0,2831.7510,2832,985.1593,985,1033.7113,1034,438.3044,438,101.0077,101,21.6300,22,125.6626,126,105.8111,106
59,5,6,5,-1,2832.7232,2833,984.3628,984,1033.1140,1033,438.0225,438,100.9532,101,21.6008,22,125.7365,126,105.7372,106
60,6,3,7,3,2829.8203,2830,986.7409,987,1031.3304,1031,438.8643,439,100.7907,101,21.5137,22,125.5159,126,105.5166,106
61,3,3,10,0,2829.8203,2830,986.7409,987,1031.3304,1031,438.8643,439,100.7907,101,21.5137,22,125.5159,126,105.5166,106
62,4,3,9,1,2828.8616,2829,987.5263,988,1031.9194,1032,439.1424,439,100.8444,101,21.5425,22,125.4430,125,105.4437,105
63,6,6,4,0,2828.8616,2829,987.5263,988,1031.9194,1032,439.1424,439,100.8444,101,21.5425,22,125.4430,125,105.4437,105
64,6,1,9,5,2833.6114,2834,991.4174,991,1034.8377,1035,440.5198,441,101.1104,101,21.6850,22,125.0820,125,105.8047,106
65,4,4,8,0,2833.6114,2834,991.4174,991,1034.8377,1035,440.5198,441,101.1104,101,21.6850,22,125.0820,125,105.8047,106
66,4,4,8,0,2833.6114,2834,991.4174,991,1034.8377,1035,440.5198,441,101.1104,101,21.6850,22,125.0820,125,105.8047,106
